934, Fri, 2,Sep,2016, 08,16,32,40,50,02,11,   6567504,    5,
365, Fri, 4,Feb,2011, 02,11,24,35,47,05,09,   4873640,    5,
191, Fri, 5,Oct,2007, 11,20,27,35,44,02,05,   2085000,    5,
116, Fri,28,Apr,2006, 05,10,17,22,33,05,07,   4492567,    4,
 86, Fri,30,Sep,2005, 06,11,47,48,50,01,06,   4255018,    4,
224, Fri,23,May,2008, 05,09,19,21,38,01,07,   2989875,    4,
104, Fri, 3,Feb,2006, 09,21,30,39,50,01,03,  42019877,    3,
420, Fri,30,Sep,2011, 05,15,28,31,44,01,06,  13912755,    3,
170, Fri,11,May,2007, 07,12,26,29,49,02,06,  12184606,    3,
551, Tue, 1,Jan,2013, 02,07,08,36,49,01,11,  10243449,    3,
340, Fri,13,Aug,2010, 04,09,15,21,47,02,07,   4093500,    3,
601, Tue,25,Jun,2013, 04,05,13,27,35,01,02,  79779517,    2,
492, Fri, 8,Jun,2012, 05,11,22,34,40,09,11,  63837544,    2,
372, Fri,25,Mar,2011, 06,12,21,27,33,03,07,  60861008,    2,
314, Fri,12,Feb,2010, 01,05,18,38,45,04,06,  56008113,    2,
657, Tue, 7,Jan,2014, 02,20,27,33,45,06,10,  54123899,    2,
872, Fri,29,Jan,2016, 01,05,23,29,32,01,07,  50382546,    2,
239, Fri, 5,Sep,2008, 07,12,16,17,39,03,08,  48247119,    2,
300, Fri, 6,Nov,2009, 11,19,34,43,45,05,09,  45570836,    2,
265, Fri, 6,Mar,2009, 13,17,19,25,35,05,06,  45060000,    2,
289, Fri,21,Aug,2009, 04,07,16,31,42,03,05,  32731271,    2,
448, Fri, 6,Jan,2012, 01,06,10,12,31,02,07,  30177623,    2,
152, Fri, 5,Jan,2007, 17,19,29,36,45,05,06,  26508665,    2,
310, Fri,15,Jan,2010, 11,26,29,49,50,04,07,  26151124,    2,
958, Fri,25,Nov,2016, 05,11,17,23,28,10,11,  26009712,    2,
279, Fri,12,Jun,2009, 06,14,16,34,50,04,06,  24951269,    2,
126, Fri, 7,Jul,2006, 07,09,18,35,43,05,07,  23809497,    2,
426, Fri,21,Oct,2011, 02,19,33,37,46,05,08,  20841014,    2,
981, Tue,14,Feb,2017, 02,10,24,40,44,03,10,  19987961,    2,
247, Fri,31,Oct,2008, 03,18,25,34,41,02,05,  17036152,    2,
160, Fri, 2,Mar,2007, 03,16,34,38,48,05,08,  14407661,    2,
267, Fri,20,Mar,2009, 12,16,23,31,35,04,06,  14023690,    2,
350, Fri,22,Oct,2010, 04,05,09,11,39,03,05,  13115962,    2,
744, Fri, 7,Nov,2014, 13,25,32,38,46,01,10,  12935936,    2,
765, Tue,20,Jan,2015, 15,33,41,44,47,08,10,  12413744,    2,
363, Fri,21,Jan,2011, 03,11,13,18,21,04,05,  12354361,    2,
346, Fri,24,Sep,2010, 01,04,16,40,48,01,09,  12235471,    2,
841, Tue,13,Oct,2015, 12,15,26,29,47,03,11,  11517654,    2,
578, Fri, 5,Apr,2013, 01,11,17,32,39,02,07,  11268414,    2,
620, Fri,30,Aug,2013, 02,17,25,36,45,05,09,  10942818,    2,
494, Fri,15,Jun,2012, 10,22,27,38,48,03,07,  10814550,    2,
622, Fri, 6,Sep,2013, 11,23,25,32,37,04,07,  10801883,    2,
 49, Fri,14,Jan,2005, 06,11,14,19,29,01,03,   9148089,    2,
118, Fri,12,May,2006, 05,20,23,34,50,01,05,   8794649,    2,
